id,employee_report_id,contractor_id,report_date,approved,contractor_fee,contractor_rating,description,note,hours
100,102,100,2017-09-21,N,700000,4.5,Maintainance,No comments,14
101,100,106,2017-01-23,Y,1000000,1,Repair,Had to buy more bulbs,20
102,114,103,2017-10-24,Y,350000,1.5,Repair,No comments,7
103,101,104,2019-08-18,N,950000,3.5,Repair,All good,19
104,105,106,2019-10-23,N,500000,0.5,Repair,Plunger broke so I had to buy a new one,10
105,112,106,2019-09-26,N,500000,5,Repair,All good,10
106,105,101,2017-02-27,N,450000,2.5,Repair,Wood and nails needed so I bought them,9
107,108,105,2017-10-09,N,850000,1,Maintainance,No comments,17
108,106,106,2016-06-01,N,650000,3.5,Repair,Had to buy more bulbs,13
109,108,103,2016-12-13,N,600000,1.5,Repair,No comments,12
110,104,101,2019-09-24,N,300000,3,Maintainance,All good,6
